Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
LG,1143,582,3492.0,6858.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Time Remaining:,0.0
Avg TTK:,0.0
Damage Done:,3492.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,582
Miss Count:,561
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,3629.215576
MBS Points:,0.0
Score:,10476.0
Scenario:,4BK - raspStrafes 360 Accuracy Edit
Hash:,2c1edf7d4e246f580623ced0da2a988b
Game Version:,3.9.1.2026-05-06-17-06-54-4967be094932
Challenge Start:,11:14:12.045
Pause Count:,5
Pause Duration:,714
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,1600
FOV:,103.0
FOVScale:,Overwatch
Hide Gun:,false
Crosshair:,rxSmallCross.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,456.303741
Resolution Scale:,100.0
