Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,6001,1936,1936.0,6001.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Time Remaining:,0.0
Avg TTK:,0.0
Damage Done:,1936.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1936
Miss Count:,4065
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1936.0
Scenario:,vertical smoothness training popcorn small
Hash:,7d00852da1ddc9329cda9d7d2de11905
Game Version:,3.9.1.2026-05-06-17-06-54-4967be094932
Challenge Start:,22:28:23.489
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.22773
Horiz Sens:,0.22786
Vert Sens:,0.22786
DPI:,1600
FOV:,103.0
FOVScale:,Overwatch
Hide Gun:,false
Crosshair:,rxSmallCross.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,551.222107
Resolution Scale:,100.0
